time,temp,icon,precip,wind360,windSpeed,humidity,pressure,solar1,solar2,solar3,solar
12,25,101,0.0,45,13,57,1000,45.566322326660156,40.34693908691406,46.252193450927734,19.555145263671875
13,26,100,0.0,135,9,50,999,30.435569763183594,40.70286560058594,45.25716018676758,29.786069869995117
14,26,100,0.0,45,12,51,998,4.790711879730225,43.048858642578125,40.95746994018555,33.961055755615234
15,27,100,0.0,135,7,48,997,6.557352066040039,35.95372009277344,33.40508270263672,28.998876571655273
16,27,100,0.0,135,24,50,997,1.1665019989013672,23.023475646972656,21.332178115844727,17.398805618286133
17,26,100,0.0,135,17,52,995,2.5876080989837646,10.015290260314941,8.305806159973145,7.978457927703857
18,26,100,0.0,180,14,55,994,2.603195905685425,1.8627660274505615,2.283642053604126,2.655155897140503
19,26,100,0.0,90,11,55,993,-0.05455800145864487,0.29097598791122437,0.16107599437236786,0.002597999991849065
20,26,100,0.0,90,18,55,994,-0.05455800145864487,0.29097598791122437,0.16107599437236786,0.002597999991849065
21,26,100,0.0,45,10,56,995,-0.05455800145864487,0.29097598791122437,0.16107599437236786,0.002597999991849065
22,25,100,0.0,90,23,56,996,-0.05455800145864487,0.29097598791122437,0.16107599437236786,0.002597999991849065
23,20,101,0.0,45,29,68,996,-0.05455800145864487,0.29097598791122437,0.16107599437236786,0.002597999991849065
0,20,305,0.0,180,7,71,997,0.0337739996612072,0.0,0.0675479993224144,0.0
1,19,305,0.1,315,10,87,996,0.0337739996612072,0.0,0.0675479993224144,0.0
2,19,101,0.0,0,7,88,996,0.0337739996612072,0.0,0.0675479993224144,0.0
3,19,101,0.0,315,18,88,996,0.0337739996612072,0.0,0.0675479993224144,0.0
4,21,100,0.0,0,9,75,995,0.0337739996612072,0.0,0.0675479993224144,0.0
5,19,100,0.0,0,9,85,994,0.0337739996612072,0.0,0.0675479993224144,0.5273939967155457
6,19,101,0.0,0,4,87,994,1.5665940046310425,6.167652130126953,2.364180088043213,3.1721580028533936
7,19,100,0.0,0,8,82,995,1.6315439939498901,8.1525239944458,6.78857421875,7.573170185089111
8,20,101,0.0,0,14,75,994,9.20991039276123,10.199748039245605,14.263019561767578,14.634533882141113
9,21,101,0.0,0,8,72,995,23.11440658569336,9.669755935668945,26.421659469604492,24.17698860168457
11,25,101,0.0,135,5,59,993,34.33256912231445,18.261341094970703,43.88801574707031,29.437938690185547
12,26,101,0.0,135,12,57,993,19.555145263671875,45.566322326660156,40.34693908691406,29.663963317871094
13,27,101,0.0,0,7,55,993,29.786069869995117,30.435569763183594,40.70286560058594,26.81395721435547
14,28,101,0.0,45,3,52,992,33.961055755615234,4.790711879730225,43.048858642578125,8.46947956085205
15,28,101,0.0,270,3,53,992,28.998876571655273,6.557352066040039,35.95372009277344,12.353489875793457
16,27,101,0.0,0,16,63,992,17.398805618286133,1.1665019989013672,23.023475646972656,16.09720802307129
17,26,101,0.0,0,12,64,992,7.978457927703857,2.5876080989837646,10.015290260314941,8.48246955871582
18,26,101,0.0,0,8,66,991,2.655155897140503,2.603195905685425,1.8627660274505615,1.826393961906433
19,25,101,0.0,0,7,66,992,0.002597999991849065,-0.05455800145864487,0.29097598791122437,0.29617199301719666
20,23,101,0.0,0,11,71,994,0.002597999991849065,-0.05455800145864487,0.29097598791122437,0.29617199301719666
21,23,101,0.0,45,9,74,994,0.002597999991849065,-0.05455800145864487,0.29097598791122437,0.29617199301719666
22,22,502,0.0,315,12,77,995,0.002597999991849065,-0.05455800145864487,0.29097598791122437,0.29617199301719666
23,21,101,0.0,315,10,84,996,0.002597999991849065,-0.05455800145864487,0.29097598791122437,0.29617199301719666
0,21,101,0.0,0,5,83,997,0.0,0.0337739996612072,0.0,0.028578000143170357
1,21,101,0.0,315,6,80,997,0.0,0.0337739996612072,0.0,0.028578000143170357
2,20,101,0.0,90,1,84,997,0.0,0.0337739996612072,0.0,0.028578000143170357
3,19,101,0.0,315,7,85,997,0.0,0.0337739996612072,0.0,0.028578000143170357
4,19,101,0.0,225,3,84,997,0.0,0.0337739996612072,0.0,0.028578000143170357
5,19,101,0.0,0,8,82,996,0.5273939967155457,0.0337739996612072,0.0,0.028578000143170357
6,20,100,0.0,0,32,60,997,3.1721580028533936,1.5665940046310425,6.167652130126953,2.9851019382476807
7,21,100,0.0,0,12,41,998,7.573170185089111,1.6315439939498901,8.1525239944458,7.34194803237915
8,22,101,0.0,45,22,36,999,14.634533882141113,9.20991039276123,10.199748039245605,15.143741607666016
9,23,101,0.0,0,30,29,999,24.17698860168457,23.11440658569336,9.669755935668945,30.983747482299805
12,25,100,0.0,315,20,21,999,29.663963317871094,19.555145263671875,45.566322326660156,49.67375946044922
13,26,100,0.0,0,23,20,999,26.81395721435547,29.786069869995117,30.435569763183594,49.67375946044922
14,27,100,0.0,45,24,20,998,8.46947956085205,33.961055755615234,4.790711879730225,46.0963134765625
15,27,100,0.0,45,26,20,997,12.353489875793457,28.998876571655273,6.557352066040039,38.50236129760742
16,28,100,0.0,45,23,19,996,16.09720802307129,17.398805618286133,1.1665019989013672,24.7563419342041
