time,temp,icon,precip,wind360,windSpeed,humidity,pressure,load1,load2,load3,load
7,21,100,0.0,0,12,41,998,2.4109439849853516,2.8889760971069336,6.9418559074401855,2.1719279289245605
8,22,101,0.0,45,22,36,999,6.011772155761719,4.868651866912842,12.101484298706055,4.255524158477783
9,23,101,0.0,0,30,29,999,6.271572113037109,5.424623966217041,7.6329240798950195,4.437384128570557
12,25,100,0.0,315,20,21,999,5.897459983825684,1.9952640533447266,3.8450400829315186,7.705667972564697
13,26,100,0.0,0,23,20,999,7.91350793838501,2.556432008743286,3.4293599128723145,3.725532054901123
14,27,100,0.0,45,24,20,998,8.931923866271973,3.7307279109954834,6.827544212341309,3.725532054901123
15,27,100,0.0,45,26,20,997,10.366020202636719,4.317875862121582,6.6768598556518555,8.620163917541504
16,28,100,0.0,45,23,19,996,8.277228355407715,4.759535789489746,7.310771942138672,7.1548919677734375
17,28,100,0.0,0,13,19,995,8.13693618774414,4.442580223083496,6.687252044677734,4.343855857849121
18,27,100,0.0,45,13,20,995,3.1124041080474854,3.1279919147491455,3.938568115234375,3.299459934234619
19,26,100,0.0,45,9,21,995,3.1124041080474854,2.9357399940490723,5.559720039367676,2.8162319660186768
20,23,100,0.0,180,7,30,995,3.6060240268707275,3.974940061569214,4.156799793243408,3.1124041080474854
21,22,100,0.0,180,7,36,996,3.6060240268707275,3.7930800914764404,4.156799793243408,3.1124041080474854
22,21,100,0.0,180,5,38,996,6.0845160484313965,1.6575239896774292,8.110956192016602,4.697184085845947
23,21,100,0.0,135,4,32,996,4.541304111480713,1.6575239896774292,5.0141401290893555,5.055707931518555
0,19,100,0.0,135,2,38,996,1.6938960552215576,1.7822279930114746,2.494080066680908,1.7718360424041748
1,19,100,0.0,180,1,42,995,1.6938960552215576,1.7822279930114746,2.494080066680908,1.7718360424041748
2,19,100,0.0,90,2,46,994,1.6938960552215576,1.7822279930114746,2.494080066680908,1.7718360424041748
3,19,100,0.0,315,4,42,993,1.6938960552215576,1.7822279930114746,2.494080066680908,1.7718360424041748
4,22,100,0.0,270,24,21,993,1.6938960552215576,1.7822279930114746,2.494080066680908,1.7718360424041748
5,24,100,0.0,270,16,19,992,1.6938960552215576,1.7822279930114746,2.494080066680908,1.7718360424041748
6,24,100,0.0,270,4,21,991,1.6938960552215576,1.7822279930114746,2.494080066680908,1.7718360424041748
7,25,100,0.0,270,16,20,991,2.1719279289245605,2.4109439849853516,2.8889760971069336,6.9522480964660645
8,27,100,0.0,270,39,19,991,4.255524158477783,6.011772155761719,4.868651866912842,4.099644184112549
9,29,100,0.0,270,30,18,990,4.437384128570557,6.271572113037109,5.424623966217041,7.248419761657715
12,34,100,0.0,270,33,14,988,7.705667972564697,5.897459983825684,1.9952640533447266,8.173308372497559
13,35,100,0.0,270,45,11,987,3.725532054901123,7.91350793838501,2.556432008743286,6.858719825744629
14,35,100,0.0,315,18,11,986,3.725532054901123,8.931923866271973,3.7307279109954834,17.032487869262695
15,35,100,0.0,315,21,10,986,8.620163917541504,10.366020202636719,4.317875862121582,4.187975883483887
16,34,305,0.0,0,17,12,985,7.1548919677734375,8.277228355407715,4.759535789489746,4.63483190536499
17,35,100,0.0,315,17,11,985,4.343855857849121,8.13693618774414,4.442580223083496,3.5904359817504883
18,33,101,0.0,270,7,13,985,3.299459934234619,3.1124041080474854,3.1279919147491455,3.0396599769592285
19,32,101,0.0,315,8,14,985,2.8162319660186768,3.1124041080474854,2.9357399940490723,2.1095759868621826
20,30,101,0.0,90,26,21,986,3.1124041080474854,3.6060240268707275,3.974940061569214,2.1927120685577393
21,27,101,0.0,180,7,28,987,3.1124041080474854,3.6060240268707275,3.7930800914764404,2.1927120685577393
22,27,100,0.0,270,5,29,988,4.697184085845947,6.0845160484313965,1.6575239896774292,2.1927120685577393
23,27,100,0.0,135,16,27,989,5.055707931518555,4.541304111480713,1.6575239896774292,2.255064010620117
0,26,100,0.0,90,23,29,990,1.7718360424041748,1.6938960552215576,1.7822279930114746,2.338200092315674
1,25,100,0.0,90,18,29,990,1.7718360424041748,1.6938960552215576,1.7822279930114746,2.338200092315674
2,24,100,0.0,135,5,32,990,1.7718360424041748,1.6938960552215576,1.7822279930114746,2.338200092315674
3,21,100,0.0,0,8,45,990,1.7718360424041748,1.6938960552215576,1.7822279930114746,2.338200092315674
4,20,100,0.0,0,2,50,990,1.7718360424041748,1.6938960552215576,1.7822279930114746,2.338200092315674
5,19,100,0.0,315,8,54,990,1.7718360424041748,1.6938960552215576,1.7822279930114746,2.338200092315674
6,20,100,0.0,315,5,53,990,1.7718360424041748,1.6938960552215576,1.7822279930114746,2.338200092315674
7,23,100,0.0,315,9,43,990,6.9522480964660645,2.1719279289245605,2.4109439849853516,4.0840559005737305
8,26,100,0.0,0,13,34,991,4.099644184112549,4.255524158477783,6.011772155761719,2.0732040405273438
9,27,100,0.0,0,10,31,991,7.248419761657715,4.437384128570557,6.271572113037109,7.206851959228516
12,31,100,0.0,0,6,20,991,8.173308372497559,7.705667972564697,5.897459983825684,7.38351583480835
13,32,100,0.0,45,15,18,990,6.858719825744629,3.725532054901123,7.91350793838501,7.466651916503906
14,33,100,0.0,45,17,17,990,17.032487869262695,3.725532054901123,8.931923866271973,2.6863319873809814
15,33,100,0.0,0,10,15,988,4.187975883483887,8.620163917541504,10.366020202636719,5.258351802825928
16,34,100,0.0,45,11,14,988,4.63483190536499,7.1548919677734375,8.277228355407715,7.024991989135742
17,34,100,0.0,180,9,14,987,3.5904359817504883,4.343855857849121,8.13693618774414,7.856351852416992
18,33,100,0.0,180,15,17,987,3.0396599769592285,3.299459934234619,3.1124041080474854,3.3306360244750977
19,31,100,0.0,180,21,18,986,2.1095759868621826,2.8162319660186768,3.1124041080474854,2.44212007522583
20,29,100,0.0,180,10,23,987,2.1927120685577393,3.1124041080474854,3.6060240268707275,7.06136417388916
21,28,100,0.0,135,13,24,988,2.1927120685577393,3.1124041080474854,3.6060240268707275,3.980135917663574
22,27,100,0.0,180,17,26,988,2.1927120685577393,4.697184085845947,6.0845160484313965,2.4732959270477295
23,25,100,0.0,135,10,31,988,2.255064010620117,5.055707931518555,4.541304111480713,2.4732959270477295
0,24,100,0.0,135,7,32,988,2.338200092315674,1.7718360424041748,1.6938960552215576,1.7666399478912354
1,23,100,0.0,225,2,35,988,2.338200092315674,1.7718360424041748,1.6938960552215576,1.7666399478912354
2,22,100,0.0,45,6,37,987,2.338200092315674,1.7718360424041748,1.6938960552215576,1.7666399478912354
3,21,100,0.0,315,11,42,987,2.338200092315674,1.7718360424041748,1.6938960552215576,1.7666399478912354
4,21,100,0.0,0,4,37,988,2.338200092315674,1.7718360424041748,1.6938960552215576,1.7666399478912354
5,21,100,0.0,0,17,39,988,2.338200092315674,1.7718360424041748,1.6938960552215576,1.7666399478912354
6,23,100,0.0,0,11,30,988,2.338200092315674,1.7718360424041748,1.6938960552215576,1.7666399478912354
7,25,104,0.0,0,16,31,989,4.0840559005737305,6.9522480964660645,2.1719279289245605,1.7666399478912354
8,26,101,0.0,0,16,31,990,2.0732040405273438,4.099644184112549,4.255524158477783,1.7666399478912354
9,26,101,0.0,0,19,29,991,7.206851959228516,7.248419761657715,4.437384128570557,6.848328113555908
12,31,101,0.0,45,15,26,991,7.38351583480835,8.173308372497559,7.705667972564697,3.2007360458374023
13,32,101,0.0,45,17,23,991,7.466651916503906,6.858719825744629,3.725532054901123,2.088792085647583
14,33,101,0.0,90,13,21,990,2.6863319873809814,17.032487869262695,3.725532054901123,7.212048053741455
15,33,101,0.0,45,13,21,989,5.258351802825928,4.187975883483887,8.620163917541504,8.116151809692383
16,33,101,0.0,45,19,21,989,7.024991989135742,4.63483190536499,7.1548919677734375,8.14732837677002
17,33,101,0.0,0,22,26,989,7.856351852416992,3.5904359817504883,4.343855857849121,11.4415922164917
18,31,101,0.0,45,26,31,989,3.3306360244750977,3.0396599769592285,3.299459934234619,2.353787899017334
19,30,104,0.0,45,22,34,990,2.44212007522583,2.1095759868621826,2.8162319660186768,2.353787899017334
20,28,104,0.0,315,17,37,991,7.06136417388916,2.1927120685577393,3.1124041080474854,3.53847599029541
21,28,104,0.0,315,13,39,992,3.980135917663574,2.1927120685577393,3.1124041080474854,4.577675819396973
22,27,104,0.0,315,9,39,993,2.4732959270477295,2.1927120685577393,4.697184085845947,3.496907949447632
23,27,104,0.0,315,12,40,994,2.4732959270477295,2.255064010620117,5.055707931518555,3.496907949447632
0,26,104,0.0,0,26,41,993,1.7666399478912354,2.338200092315674,1.7718360424041748,3.4917120933532715
1,25,104,0.0,0,12,44,994,1.7666399478912354,2.338200092315674,1.7718360424041748,1.964087963104248
2,25,104,0.0,0,22,41,993,1.7666399478912354,2.338200092315674,1.7718360424041748,1.964087963104248
3,24,104,0.0,315,19,41,993,1.7666399478912354,2.338200092315674,1.7718360424041748,1.964087963104248
4,24,104,0.0,0,9,39,994,1.7666399478912354,2.338200092315674,1.7718360424041748,1.964087963104248
5,25,104,0.0,270,8,36,994,1.7666399478912354,2.338200092315674,1.7718360424041748,1.964087963104248
6,25,104,0.0,0,8,36,994,1.7666399478912354,2.338200092315674,1.7718360424041748,1.964087963104248
7,26,104,0.0,315,6,37,994,1.7666399478912354,4.0840559005737305,6.9522480964660645,6.204023838043213
8,27,302,0.0,45,11,35,995,1.7666399478912354,2.0732040405273438,4.099644184112549,6.9522480964660645
9,27,104,0.0,45,7,37,995,6.848328113555908,7.206851959228516,7.248419761657715,10.807680130004883
10,27,104,0.0,90,11,40,996,7.508220195770264,3.6320040225982666,4.697184085845947,11.135027885437012
12,26,306,0.2,45,21,48,997,3.2007360458374023,7.38351583480835,8.173308372497559,8.194091796875
